   2, -16,   5,   3,  -3,  -8,   1,   2,1509610744.902
  -1,   6,  -3,  -3,   1,  10,  -1,   2,1509610744.924
  -5,  -8, -10,  -4,  -3,   5,  -1,   0,1509610744.924
   3,  18,  -4,  -1,   5,  -3,  -3,  -2,1509610744.925
  -1,   2,   6,   2,  -2,  -7,   1,   1,1509610744.925
  -2,  -2,   7,   1,  -1, -15,   1,  -1,1509610744.959
 -10, -36, -20,  -5,   1,  14,  -3,  -3,1509610744.959
  -4, -17,  18,   3,   1,   6,  -2,   0,1509610744.959
  -2,  39,  -6,   0,  -3,  -2,  -1,  -3,1509610744.959
  12,  18,  -2,  -2,   2,  -2,   0,   3,1509610744.900
  -5, -39,  -2,  -3,  -1,  -5,  -6,  -3,1509610744.900
   0,  31,   7,  -1,   2,   5,   1,   1,1509610744.901
   2, -16,   5,   3,  -3,  -8,   1,   2,1509610744.901
  -1,   6,  -3,  -3,   1,  10,  -1,   2,1509610744.924
  -5,  -8, -10,  -4,  -3,   5,  -1,   0,1509610744.924
   3,  18,  -4,  -1,   5,  -3,  -3,  -2,1509610744.925
  -1,   2,   6,   2,  -2,  -7,   1,   1,1509610744.925
  -2,  -2,   7,   1,  -1, -15,   1,  -1,1509610744.959
  -7,   1,   8,  -1,   3,  -5,  -2,  -2,1509610744.960
   1, -10,  -2,  -1,  -2,  -8,   3,   0,1509610744.961
   0,   5,  -4,  -4,   0,   5,  -2,  -1,1509610744.961
  -2,   6,   5,   2,   0,  -3,   0,  -3,1509610744.961
   7, -11,   0,   0,   1,   1,  -3,  -1,1509610745.009
 -15,  -8,  -4,  -1,  -1,   3,  -3,  -4,1509610745.009
   4,  14,   1,  -2,   0,   0,   0,   2,1509610745.009
   6, -15,  -8,   1,  -6,  -5,   3,   4,1509610745.009
 -11,   9,  -3,  -2,   5,  21,   0,  -4,1509610745.009
 -10, -36, -20,  -5,   1,  14,  -3,  -3,1509610744.959
  -4, -17,  18,   3,   1,   6,  -2,   0,1509610744.959
  -2,  39,  -6,   0,  -3,  -2,  -1,  -3,1509610744.959
  -7,   1,   8,  -1,   3,  -5,  -2,  -2,1509610744.961
   1, -10,  -2,  -1,  -2,  -8,   3,   0,1509610744.961
   0,   5,  -4,  -4,   0,   5,  -2,  -1,1509610744.961
  -2,   6,   5,   2,   0,  -3,   0,  -3,1509610744.961
   7, -11,   0,   0,   1,   1,  -3,  -1,1509610745.009
 -15,  -8,  -4,  -1,  -1,   3,  -3,  -4,1509610745.010
   4,  14,   1,  -2,   0,   0,   0,   2,1509610745.010
   6, -15,  -8,   1,  -6,  -5,   3,   4,1509610745.010
 -11,   9,  -3,  -2,   5,  21,   0,  -4,1509610745.010
   5,  -3,  -3,  -4,   1,   0,  -4,   0,1509610745.010
  -6,   8,   3,  -1,   0,  -5,  -1,  -2,1509610745.011
  11,   8,  13,   4,  -1,  17,   3,   4,1509610745.011
  -2, -53,  -1,  -3,   5, -37,  -6,  -2,1509610745.023
  -4, -32, -11,  -3,  -5,   8,  -1,  -3,1509610745.023
  -6,  27,  -2,  -2,   1,  20,  -4,  -2,1509610745.029
   5,  -3,  -3,  -4,   1,   0,  -4,   0,1509610745.009
  -6,   8,   3,  -1,   0,  -5,  -1,  -2,1509610745.009
  11,   8,  13,   4,  -1,  17,   3,   4,1509610745.009
  -2, -53,  -1,  -3,   5, -37,  -6,  -2,1509610745.023
  -4, -32, -11,  -3,  -5,   8,  -1,  -3,1509610745.023
  -6,  27,  -2,  -2,   1,  20,  -4,  -2,1509610745.029
   4, -21,   8,   2,  -2,   5,   1,  -5,1509610745.030
  -2,  13,  -6,  -2,   0, -10,   0,   3,1509610745.044
   3,  18,   7,   3,   3,  10,   2,   0,1509610745.044
   4, -21,   8,   2,  -2,   5,   1,  -5,1509610745.030
  -2,  13,  -6,  -2,   0, -10,   0,   3,1509610745.044
   3,  18,   7,   3,   3,  10,   2,   0,1509610745.044
  -9,   5,  -8,  -1,   1, -22,  -4,  -1,1509610745.054
  -1, -12,   6,   0,  -3, -12,  -1,   1,1509610745.054
  -6,  38,  -1,   2,   4,  10,  -3,  -3,1509610745.077
   0,   7,   9,  -1,  -5, -16,  -2,  -2,1509610745.077
  -3,   2, -17,  -3,   4,  17,   0,  -1,1509610745.077
 -12, -15,  -1,  -1,  -2,  -5,  -2,  -7,1509610745.077
  -9,   5,  -8,  -1,   1, -22,  -4,  -1,1509610745.054
  -1, -12,   6,   0,  -3, -12,  -1,   1,1509610745.054
  -6,  38,  -1,   2,   4,  10,  -3,  -3,1509610745.076
   0,   7,   9,  -1,  -5, -16,  -2,  -2,1509610745.076
  -3,   2, -17,  -3,   4,  17,   0,  -1,1509610745.076
 -12, -15,  -1,  -1,  -2,  -5,  -2,  -7,1509610745.076
  -4,  25,  -4,  -1,   0,   1,   1,  -1,1509610745.080
   7, -18,  15,   0,   1,  -2,   0,   2,1509610745.080
   1,  33, -29,  -6,  -1,   4,  -4,  -6,1509610745.094
